name,description,ca,country,keys,broad
Actimi Telecare,Software for patients with heart failure,"Baden Wurttemberg, DE",DE,Actimi Telecare,Actimi
companion patella,Software for patients with knee pain,"Bavaria, DE",DE,companion patella,companion
deprexis,Software for patients with depression,"Hamburg, DE",DE,deprexis,
elevida,Software for patients with multiple sclerosis,"Hamburg, DE",DE,elevida,
Floy Signal,?,"Bavaria, DE",DE,Floy Signal,Floy
HelloBetter ratiopharm chronischer Schmerz,Software for patients with chronic pain,"Hamburg, DE",DE,HelloBetter ratiopharm chronischer Schmerz|HelloBetter ratiopharm|HelloBetter chronischer Schmerz,HelloBetter
HelloBetter Stress und Burnout,Software for patients with stress and burnout,"Hamburg, DE",DE,HelloBetter Stress und Burnout|HelloBetter Stress,HelloBetter
i.s.h. med,Hospital information system,NL,NL,i.s.h.med|i.s.h. med|ish med,ishmed
Kalmeda,Software for patients with tinnitus,"North Rhine-Westfalia, DE",DE,Kalmeda,
Kranus Edera,Software for patients with erectile dysfunction,"Bavaria, DE",DE,Kranus Edera|Edera,Kranus
mebix,Software for patients with diabetes,"Thuringia, DE",DE,mebix,
Meine Tinnitus App,Software for patients with tinnitus,"Hamburg, DE",DE,Meine Tinnitus App|Meine Tinnitus,Tinnitus App
MindDoc,Software for patients with psychological diseases (?),"Bavaria, DE",DE,MindDoc,Mind Doc
neolexon Aphasie,Software for patients with aphasia,"Bavaria, DE",DE,neolexon Aphasie|neolexon,
optimune,Software for patients with breast cancer,"Hamburg, DE",DE,optimune,
Oviva Direkt für Adipositas,Software for patients with obesity,"Saarland, DE",DE,Oviva Direkt für Adipositas|Oviva Direkt,Oviva
PINK! Coach,Software for patients with breast cancer,"Hamburg, DE",DE,PINK! Coach|PINK Coach,PINK
QuickBird Studios mamly,?,"Bavaria, DE",DE,mamly,QuickBird
sinCephalea,Software for patients with migraine,"Schleswig-Holstein, DE",DE,sinCephalea,
velibra,Software for patients with anxiety disorder,"Hamburg, DE",DE,velibra,
vorvida,Software for patients with alcohol addiction,"Hamburg, DE",DE,vorvida,
Vitadio,Software for patients with chronic diseases,CZ,CZ,Vitadio,
Veye Engine,“orchestration layer around various clinical modules known as Devices”,NL,NL,Veye Engine,Veye
