name,description,ca,country,keys,broad
depression,substring probe for depression apps,,,depress,
anxiety,substring probe for anxiety apps,,,anxiet,
panic,substring probe for panic disorder apps,,,panic,
phobia,substring probe for phobia apps,,,phobi,
mental health,substring probe for mental-health apps,,,mental,
psychology,substring probe for psychology apps,,,psych,
burnout,substring probe for burnout apps,,,burnout,
stress,substring probe for stress apps,,,stress,
insomnia,substring probe for insomnia apps,,,insomni,
sleep,substring probe for sleep apps,,,sleep,
mood,substring probe for mood apps,,,mood,
mind,substring probe for mind/mindfulness apps,,,mind,
therapy,substring probe for therapy apps,,,therap,
coach,substring probe for coaching apps,,,coach,
addiction,substring probe for addiction apps,,,addict,
tinnitus,substring probe for tinnitus apps,,,tinnitus,
